L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,"IC50Dark,μM","IC50Dark,μM_clean","IC50Light,μM","IC50Light,μM_clean","λex,nm",Cell_line,"Time,h",DOI,Year
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1c[nH]cn1,c1c[nH]cn1,F[P-](F)(F)(F)(F)F,Ir1,"16,6 ± 0,1","16,6",,,,A549,48,10.1016/j.jinorgbio.2022.111803,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1c[nH]c(-c2ncc[nH]2)n1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,A549,48,10.1016/j.jinorgbio.2022.111803,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1c[nH]cn1,c1c[nH]cn1,F[P-](F)(F)(F)(F)F,Ir1,"28,8 ± 0,3","28,8",,,,HepG2,48,10.1016/j.jinorgbio.2022.111803,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1c[nH]c(-c2ncc[nH]2)n1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,HepG2,48,10.1016/j.jinorgbio.2022.111803,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1c[nH]cn1,c1c[nH]cn1,F[P-](F)(F)(F)(F)F,Ir1,"40,3 ± 0,2","40,3",,,,HLF,48,10.1016/j.jinorgbio.2022.111803,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1c[nH]c(-c2ncc[nH]2)n1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,HLF,48,10.1016/j.jinorgbio.2022.111803,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1c[nH]cn1,c1c[nH]cn1,F[P-](F)(F)(F)(F)F,Ir1,"48,9 ± 2,3","48,9",,,,LO2,48,10.1016/j.jinorgbio.2022.111803,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1c[nH]c(-c2ncc[nH]2)n1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,LO2,48,10.1016/j.jinorgbio.2022.111803,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(Cn1c(-c2cscn2)nc2ccccc21)c1ccccc1,,[Cl-],[1a]Cl,"2,75 ± 0,37","2,75","0,32 ± 0,10","0,32",460,PC3,48,10.1016/j.jinorgbio.2022.111790,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(Cn1c(-c2cscn2)nc2ccccc21)Nc1ccccc1,,[Cl-],[2a]Cl,"10,52 ± 1,17","10,52","2,36 ± 0,46","2,36",460,PC3,48,10.1016/j.jinorgbio.2022.111790,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(Cn1c(-c2cscn2)nc2ccccc21)NCc1ccccc1,,[Cl-],[3a]Cl,"12,76 ± 0,44","12,76","1,71 ± 0,75","1,71",460,PC3,48,10.1016/j.jinorgbio.2022.111790,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(Cn1c(-c2cscn2)nc2ccccc21)N1CCCCC1,,[Cl-],[4a]Cl,"3,90 ± 1,13","3,9","0,92 ± 0,12","0,92",460,PC3,48,10.1016/j.jinorgbio.2022.111790,2022
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(Cn1c(-c2cscn2)nc2ccccc21)c1ccccc1,,[Cl-],[1b]Cl,"4,52 ± 0,02","4,52","1,94 ± 0,52","1,94",460,PC3,48,10.1016/j.jinorgbio.2022.111790,2022
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(Cn1c(-c2cscn2)nc2ccccc21)Nc1ccccc1,,[Cl-],[2b]Cl,"6,32 ± 0,73","6,32","6,01 ± 1,06","6,01",460,PC3,48,10.1016/j.jinorgbio.2022.111790,2022
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(Cn1c(-c2cscn2)nc2ccccc21)NCc1ccccc1,,[Cl-],[3b]Cl,"6,32 ± 0,48","6,32","5,57 ± 0,32","5,57",460,PC3,48,10.1016/j.jinorgbio.2022.111790,2022
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(Cn1c(-c2cscn2)nc2ccccc21)N1CCCCC1,,[Cl-],[4b]Cl,"4,64 ± 1,21","4,64","4,75 ± 0,09","4,75",460,PC3,48,10.1016/j.jinorgbio.2022.111790,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(Cn1c(-c2cscn2)nc2ccccc21)c1ccccc1,,[Cl-],[1a]Cl,"1,17 ± 0,28","1,17","0,05 ± 0,01","0,05",460,SK-MEL-28,48,10.1016/j.jinorgbio.2022.111790,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(Cn1c(-c2cscn2)nc2ccccc21)NCc1ccccc1,,[Cl-],[3a]Cl,"2,99 ± 0,23","2,99","0,14 ± 0,02","0,14",460,SK-MEL-28,48,10.1016/j.jinorgbio.2022.111790,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 100,>100,,,,A549,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,A549,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,> 100,>100,,,,A549,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 100,>100,,,,HepG2,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,HepG2,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,> 100,>100,,,,HepG2,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 100,>100,,,,BEL-7402,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,BEL-7402,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,> 100,>100,,,,BEL-7402,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 100,>100,,,,B16,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,B16,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,> 100,>100,,,,B16,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 100,>100,,,,HeLa,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,HeLa,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,> 100,>100,,,,HeLa,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 100,>100,,,,SGC-7901,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,SGC-7901,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,> 100,>100,,,,SGC-7901,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 100,>100,,,,LO2,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 100,>100,,,,LO2,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,FC(F)(F)c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,> 100,>100,,,,LO2,48,10.1016/j.jinorgbio.2021.111706,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 100,>100,,,,A549,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 200,>200,,,,A549,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,HepG2,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 200,>200,,,,HepG2,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,"20,9 ± 2,7","20,9",,,,SGC-7901,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,"36,8 ± 6,1","36,8",,,,SGC-7901,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,BEL-7402,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 200,>200,,,,BEL-7402,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,HeLa,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 200,>200,,,,HeLa,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,> 100,>100,,,,NIH3T3,48,10.1016/j.jinorgbio.2021.111603,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,c1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,> 200,>200,,,,NIH3T3,48,10.1016/j.jinorgbio.2021.111603,2021
Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=C([O-])c1ccccn1,[Cl-],,,1,"31,3 ± 0,9 ","31,3",,,,A549,24,10.1016/j.jinorgbio.2018.12.012,2019
Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=C([O-])c1ccc(Br)cn1,[Cl-],,,2,"5,6 ± 0,4 ","5,6",,,,A549,24,10.1016/j.jinorgbio.2018.12.012,2019
Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=C([O-])c1cc(Cl)ccn1,[Cl-],,,3,"4,9 ± 0,4 ","4,9",,,,A549,24,10.1016/j.jinorgbio.2018.12.012,2019
Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=C(O)c1ccc(C(=O)[O-])nc1,[Cl-],,,4,> 100,>100,,,,A549,24,10.1016/j.jinorgbio.2018.12.012,2019
Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,Cc1cccnc1C(=O)[O-],[Cl-],,,5,"15,7 ± 1,0 ","15,7",,,,A549,24,10.1016/j.jinorgbio.2018.12.012,2019
Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=C([O-])c1ccc(C(F)(F)F)cn1,[Cl-],,,6,"4,4 ± 0,4 ","4,4",,,,A549,24,10.1016/j.jinorgbio.2018.12.012,2019
Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=C([O-])c1ncccc1O,[Cl-],,,7,"15,4 ± 0,1 ","15,4",,,,A549,24,10.1016/j.jinorgbio.2018.12.012,2019
Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=C([O-])c1ccc(O)cn1,[Cl-],,,8,"43,8 ± 4,9","43,8",,,,A549,24,10.1016/j.jinorgbio.2018.12.012,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(P(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,"2,4 ± 0,3","2,4",,,,A549,24,10.1016/j.jinorgbio.2019.110703,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,"2,8 ± 0,1","2,8",,,,A549,24,10.1016/j.jinorgbio.2019.110703,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,"2,8 ± 0,6","2,8",,,,A549,24,10.1016/j.jinorgbio.2019.110703,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(P(c2ccccc2)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)cc1,,F[P-](F)(F)(F)(F)F,Ir4,"16,5 ± 0,1","16,5",,,,A549,24,10.1016/j.jinorgbio.2019.110703,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(N(c2ccccc2)c2ccc(-c3ccnc(-c4ccccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,1,"4,34 ± 0,01","4,34",,,,A549,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(N(c2ccccc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,2,"80,91 ± 8,65","80,91",,,,A549,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccnc(-c4ccccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,3,"5,80 ± 0,21","5,8",,,,A549,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)ccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,4,"10,80 ± 0,11","10,8",,,,A549,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,5,"40,33 ± 0,82","40,33",,,,A549,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(N(c2ccccc2)c2ccc(-c3ccnc(-c4ccccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,1,"5,48 ± 1,21","5,48",,,,BEAS-2B,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(N(c2ccccc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,2,> 100,>100,,,,BEAS-2B,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccnc(-c4ccccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,3,"5,80 ± 0,61","5,8",,,,BEAS-2B,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)ccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,4,> 100,>100,,,,BEAS-2B,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(N(c2ccccc2)c2ccc(-c3ccnc(-c4ccccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,1,"5,99 ± 0,81","5,99",,,,16HBE,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(N(c2ccccc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,2,"83,87 ± 4,23","83,87",,,,16HBE,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccnc(-c4ccccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,3,"2,56 ± 0,36","2,56",,,,16HBE,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)ccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,4,> 100,>100,,,,16HBE,24,10.1016/j.jinorgbio.2019.110757,2019
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,c1cc2ccc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)c4ccc(c1)c2c34,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,SGC-7901,48,10.1016/j.jinorgbio.2021.111622,2021
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,c1cc2ccc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)c4ccc(c1)c2c34,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,HepG2,48,10.1016/j.jinorgbio.2021.111622,2021
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,c1cc2ccc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)c4ccc(c1)c2c34,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,BEL-7402,48,10.1016/j.jinorgbio.2021.111622,2021
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,c1cc2ccc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)c4ccc(c1)c2c34,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,A549,48,10.1016/j.jinorgbio.2021.111622,2021
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,c1cc2ccc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)c4ccc(c1)c2c34,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,HeLa,48,10.1016/j.jinorgbio.2021.111622,2021
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,c1cc2ccc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)c4ccc(c1)c2c34,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,B16,48,10.1016/j.jinorgbio.2021.111622,2021
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,c1cc2ccc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)c4ccc(c1)c2c34,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,LO2,48,10.1016/j.jinorgbio.2021.111622,2021
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,c1cc2ccc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)c4ccc(c1)c2c34,,F[P-](F)(F)(F)(F)F,Ir1,> 200,>200,,,,NIH3T3,48,10.1016/j.jinorgbio.2021.111622,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Nc1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir1,"0,3 ± 0,2","0,3",,,,B16,48,10.1016/j.jinorgbio.2021.111580,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Nc1cccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c1,,F[P-](F)(F)(F)(F)F,Ir2,"3,7 ± 0,2","3,7",,,,B16,48,10.1016/j.jinorgbio.2021.111580,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Nc1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,"4,6 ± 1,1","4,6",,,,B16,48,10.1016/j.jinorgbio.2021.111580,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Nc1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir1,"2,2 ± 0,2","2,2",,,,SGC-7901,48,10.1016/j.jinorgbio.2021.111580,2021
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Nc1cccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c1,,F[P-](F)(F)(F)(F)F,Ir2,"20,8 ± 0,8","20,8",,,,SGC-7901,48,10.1016/j.jinorgbio.2021.111580,2021
