Name,LigandSmiles,Metal,classification
DIJBUX,C.CC(C)c1cccc(C(C)C)c1N.Cc1ccc(C(c2cccc2)c2ccc(C)cc2)cc1.Cc1ccc(C(c2cccc2)c2ccc(C)cc2)cc1,Nb,12.0
DIJCAE,CC(C)c1cccc(C(C)C)c1N.Cc1ccc(C(C(O)=Nc2c(C)cccc2C)(c2cccc2)c2ccc(C)cc2)cc1.Cc1ccc(C(c2cccc2)c2ccc(C)cc2)cc1,Nb,12.0
DIJCIM,CC(C)(C)c1ccc(O)cc1.CC(C)c1cccc(C(C)C)c1N.Cc1ccc(C(c2cccc2)c2ccc(C)cc2)cc1.Cc1ccc(C(c2cccc2)c2ccc(C)cc2)cc1,Nb,12.0
DIJCOS,CC(C)c1cccc(C(C)C)c1N.Cc1ccc(C(C(=N)c2ccc(Cl)cc2)(c2cccc2)c2ccc(C)cc2)cc1.Cc1ccc(C(c2cccc2)c2ccc(C)cc2)cc1,Nb,12.0
DIVDUH,SCCS.SCCS.SCCS,Nb,6.0
DIVVUC,CC(C)(C)N.CNC.Cc1cc(C)cc(NCc2ccccc2P(c2ccccc2)c2ccccc2CNc2cc(C)cc(C)c2)c1,Nb,5.0
DIVWEN,CC(C)(C)N.CNC.c1ccc(Nc2ccccc2CP(Cc2ccccc2Nc2ccccc2)c2ccccc2)cc1,Nb,5.0
DIZNEH,C.C.CC(C)(C)c1cc(C(c2ccccc2)c2ccccc2)c(O)c(C(c2ccccc2)c2ccccc2)c1.CC(C)(C)c1cc(C(c2ccccc2)c2ccccc2)c(O)c(C(c2ccccc2)c2ccccc2)c1.Cl,Nb,5.0
DIZNIL,C.C.CC(C)(C)c1cc(C(c2ccccc2)c2ccccc2)c(O)c(C(c2ccccc2)c2ccccc2)c1.CC(C)(C)c1cc(C(c2ccccc2)c2ccccc2)c([O-])c(C(c2ccccc2)c2ccccc2)c1.C[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Nb,5.0
DIZNOR,C.CC(C)(C)c1cc(C(c2ccccc2)c2ccccc2)c(O)c(C(c2ccccc2)c2ccccc2)c1.CC(C)(C)c1cc(C(c2ccccc2)c2ccccc2)c([O-])c(C(c2ccccc2)c2ccccc2)c1.C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.O,Nb,5.0
DIZNUX,C.C.CC(C)(C)c1cc(C(c2ccccc2)c2ccccc2)c(O)c(C(c2ccccc2)c2ccccc2)c1.CC(C)(C)c1cc(C(c2ccccc2)c2ccccc2)c(O)c(C(c2ccccc2)c2ccccc2)c1.C[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Nb,5.0
DOFYUS,CCC(CC)(c1cccc1)c1cccc1.[H][BH2][H],Nb,12.0
DOFZED,CC(C)(c1cccc1)C(C)(C)c1cccc1.[H][BH2][H],Nb,12.0
DOGCUX,CC(C)(C)c1ccc(C(C)(C)C(C)(C)c2ccc(C(C)(C)C)c2)c1.[H][BH2][H],Nb,12.0
DOGDAE,C[Si](C)(c1cccc1)c1cccc1.[H][BH2][H],Nb,12.0
DOMXUY,S.SCCS.SCCSCCS,Nb,6.0
DTCOBN,CCN(CC)C(=S)S.CCN(CC)C(=S)S.CCN(CC)C(=S)S.O,Nb,7.0
DUWHOS,O.Oc1cccccc1O.Oc1cccccc1O.Oc1cccccc1O,Nb,7.0
DUXMIS,C.C[Si](C)(C)N[Si](C)(C)N[Si](C)(C)C.C[Si](C)(C)N[Si](C)(C)N[Si](C)(C)C,Nb,5.0
DUYKEN,[AsH]1[AsH][AsH][AsH][AsH][AsH][AsH][AsH]1,Nb,8.0
