smiles,Name,LigandSmiles,Metal,bondorder,oxidation_states,classification
CC(C)(C)[N+]#[C-]->[Cr]1(<-[C]=O)(<-[C]=O)(<-[C]=O)<-N(=Cc2ccccn->12)c1ccc(O)cc1,EGEDOJ,C#NC(C)(C)C.C#O.C#O.C#O.Oc1ccc(N=Cc2ccccn2)cc1,Cr,6.0,0,6
CN(C)C(=NP(N=C(N(C)C)N(C)C)(C(C)(C)C)->[Fe](<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)N(C)C,NAVJEZ,C#O.C#O.C#O.C#O.CN(C)C(=NP(N=C(N(C)C)N(C)C)C(C)(C)C)N(C)C,Fe,5.0,0,6
O=[C]->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-p1c(-c2ccc(Br)cc2)oc2ccccc21,QEHBAJ,Brc1ccc(C2=Pc3ccccc3O2)cc1.C#O.C#O.C#O.C#O.C#O,W,6.0,0,6
CC(C)c1cccc(C(C)C)c1N1[C](->[Fe](<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)C(C)(C)CC1(C)C,HACGAW,C#O.C#O.C#O.C#O.CC(C)c1cccc(C(C)C)c1N1CC(C)(C)CC1(C)C,Fe,5.0,0,6
C[Si](C)(C)C([Si](C)(C)C)P1(->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)OC(c2ccccc2)OC1c1ccccc1,ISUKUD,C#O.C#O.C#O.C#O.C#O.C[Si](C)(C)C(P1OC(c2ccccc2)OC1c1ccccc1)[Si](C)(C)C,W,6.0,0,6
CN1CC2C3CN(C)P1(c1ccccc1)->[Mo](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-P23c1ccccc1,QEJBAJ,C#O.C#O.C#O.C#O.CN1CC2C(CN(C)P1c1ccccc1)P2c1ccccc1,Mo,6.0,0,6
CN1(C)c2ccccc2P(c2ccccc2)(c2ccccc2)->[W]<-1(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,LESXUC,C#O.C#O.C#O.C#O.CN(C)c1ccccc1P(c1ccccc1)c1ccccc1,W,6.0,0,6
CN1=C(c2ccccc2)c2ccccn2->[Mo]<-1(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,SUVDES,C#O.C#O.C#O.C#O.CN=C(c1ccccc1)c1ccccn1,Mo,6.0,0,6
CC(C)c1cccc(C(C)C)c1N1CCN(c2c(C(C)C)cccc2C(C)C)[C]1->[Ni]123<-C=C->1CCC->2=C->3,SEJKID,C=CCCC=C.CC(C)c1cccc(C(C)C)c1N1CCN(c2c(C(C)C)cccc2C(C)C)C1,Ni,5.0,0,6
C[Si](C)(C)C([Si](C)(C)C)P1(->[Cr](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)OC1c1ccccc1,AMAWUH,C#O.C#O.C#O.C#O.C#O.C[Si](C)(C)C(P1OC1c1ccccc1)[Si](C)(C)C,Cr,6.0,0,6
